1_r1_smiles,1_r2_smiles,1_reaction,2_r1_smiles,2_r2_smiles,2_reaction,compound_set,input_num,route_uuid,smiles,hit1_short,hit2_short,datetime,num_steps,flat_inchi
Nc1ccc2c(C(=O)O)cccc2c1,CN,Amidation,,,,cx1260a-cx0270a,306.0,QH5ek7,CNC(=O)c1cccc2cc(N)ccc12,cx1260a,cx0270a,2024-09-04 10:21:00,1.0,TUFPTLPAEQNWJN-UHFFFAOYSA-N
O=c1ccnc[nH]1,O=S1(=O)CCC(CCl)C1,Nucleophilic_substitution_with_amine,,,,CHIKVMac-DLS-JA005,4.0,tA8T94,O=c1ccncn1C[C@H]1CCS(=O)(=O)C1,cx0314a,cx1182a,2024-09-03 17:49:00,1.0,UGYMLSSIEIESGU-UHFFFAOYSA-N
O=C1CCC(Cl)NN1,CN,Nucleophilic_substitution_with_amine,CNC1CCC(=O)NN1,CCOc1ncccc1C(=O)O,Amidation,cx0522a-cx1135a,51.0,e5WDiF,CCOc1ncccc1C(=O)N(C)[C@H]1CCC(=O)NN1,cx0522a,cx1135a,2024-09-03 19:43:00,2.0,CTECJTBKOFPTMY-UHFFFAOYSA-N
O=Cc1nn(CC(=O)O)c2ccccc12,Nc1ccc(O)cc1,Reductive_amination,O=C(O)Cn1nc(CNc2ccc(O)cc2)c2ccccc21,CNC,Amidation,cx0312a-cx0935a,264.0,tCavCn,CN(C)C(=O)Cn1nc(CNc2ccc(O)cc2)c2ccccc21,cx0935a,cx0312a,2024-09-04 20:01:00,2.0,WLFMTZKZYACXSW-UHFFFAOYSA-N
NC1CCCC1c1csc(-c2nc[nH]n2)n1,Cc1nsc(F)n1,N-nucleophilic_aromatic_substitution,,,,CHIKVMac-DLS-JA002,1.0,pJjf8p,Cc1nsc(N[C@@H]2CCC[C@H]2c2csc(-c3nc[nH]n3)n2)n1,cx0406a,cx0281a,2024-09-03 17:11:00,1.0,SCMCRGMETQKMMQ-UHFFFAOYSA-N
O=c1cc(Br)cc[nH]1,CCc1nc(CCl)no1,Nucleophilic_substitution_with_amine,,,,cx1091a-cx0316a,222.0,eaAXaE,CCc1nc(Cn2ccc(Br)cc2=O)no1,cx1091a,cx0316a,2024-09-04 10:30:00,1.0,QQERROZMPKKQER-UHFFFAOYSA-N
Clc1ccncc1,CNC1CCN(c2ccccc2F)C1=O,N-nucleophilic_aromatic_substitution,,,,cx0398a-cx0824a,56.0,DTFrJP,CN(c1ccncc1)[C@H]1CCN(c2ccccc2F)C1=O,cx0398a,cx0824a,2024-09-03 19:15:00,1.0,LKDGGWMXOHPRMI-UHFFFAOYSA-N
NC(=O)Nc1cccc(N)c1,COC(=O)CCc1nc(Cn2ccccc2=O)no1,Ester_amidation,,,,cx0544a-cx0316a,37.0,CUzZ4y,NC(=O)Nc1cccc(NC(=O)CCc2nc(Cn3ccccc3=O)no2)c1,cx0544a,cx0316a,2024-09-03 18:24:00,1.0,TYBDSUPMDPIPBB-UHFFFAOYSA-N
OB(O)c1cc[nH]n1,CNC(=O)c1c(Cl)ccc2c1OCO2,Sp2-sp2_Suzuki_coupling,,,,cx0864d-cx0399f,298.0,tSmsBj,CNC(=O)c1c(-c2cc[nH]n2)ccc2c1OCO2,cx0864d,cx0399f,2024-09-04 10:44:00,1.0,FCNMMRVSBYHGGR-UHFFFAOYSA-N
Oc1cnccc1Br,Nc1ccc(O)cc1,Buchwald-Hartwig_amination,,,,cx0935a-cx1132f,328.0,u2HpuH,Oc1ccc(Nc2ccncc2O)cc1,cx0935a,cx1132f,2024-09-04 13:05:00,1.0,MIMRXPBJLOWRMN-UHFFFAOYSA-N
OB(O)c1cc[nH]n1,Nc1cc(Br)cc2c1OCO2,Sp2-sp2_Suzuki_coupling,,,,cx0864a-cx1271a,72.0,XDh6fb,Nc1cc(-c2cc[nH]n2)cc2c1OCO2,cx1271a,cx0864a,2024-09-03 18:15:00,1.0,RGWZNWCCBDMABV-UHFFFAOYSA-N
Oc1c(Cl)ncc2ccccc12,Nc1ccc(O)cc1,N-nucleophilic_aromatic_substitution,,,,cx0935a-cx1440b,340.0,uS8o7t,Oc1ccc(Nc2ncc3ccccc3c2O)cc1,cx0935a,cx1440b,2024-09-04 11:14:00,1.0,FXMHNJCWYFUXEW-UHFFFAOYSA-N
On1nccc1I,OB(O)c1ccc2c(c1)OCO2,Sp2-sp2_Suzuki_coupling,,,,cx0864a-cx0969a,74.0,5FTjEF,On1nccc1-c1ccc2c(c1)OCO2,cx0864a,cx0969a,2024-09-03 18:06:00,1.0,JOXQXTUGOHUMII-UHFFFAOYSA-N
Cc1cc(I)cc(F)n1,CNNC=O,N-nucleophilic_aromatic_substitution,Cc1cc(I)cc(N(C)NC=O)n1,CC(CCB1OC(C)(C)C(C)(C)O1)NC(N)=O,Sp3-sp2_Suzuki_coupling,cx0544a-cx1194a,33.0,oKid7K,Cc1cc(CC[C@H](C)NC(N)=O)cc(N(C)NC=O)n1,cx0544a,cx1194a,2024-09-03 18:02:00,2.0,OYZLDUQCBJYBED-UHFFFAOYSA-N
Nc1ccc(O)c(B(O)O)c1,COCC(=O)O,Amidation,O=C1CCC(NC(=O)c2csc(I)n2)CN1,COCC(=O)Nc1ccc(O)c(B(O)O)c1,Sp2-sp2_Suzuki_coupling,cx0935a-cx0300a,313.0,ZWFCao,COCC(=O)Nc1ccc(O)c(-c2nc(C(=O)N[C@@H]3CCC(=O)NC3)cs2)c1,cx0935a,cx0300a,2024-09-04 10:40:00,2.0,SBEBTLKTHHBVAY-UHFFFAOYSA-N
N#Cc1c(O)ccc(N)c1F,COCC(=O)O,Amidation,COCC(=O)Nc1ccc(O)c(C#N)c1F,CNCC(N)=O,N-nucleophilic_aromatic_substitution,cx0935a-cx0553a,317.0,sCHeek,COCC(=O)Nc1ccc(O)c(C#N)c1N(C)CC(N)=O,cx0935a,cx0553a,2024-09-04 14:44:00,2.0,XXPRWRCNORVHSY-UHFFFAOYSA-N
