,smiles
0,CCc1nc(NC(=O)c2ccnc(NC3CC=CC3)c2)no1
1,O=c1ccncn1CC1CCS(=O)(=O)C1
2,Cn1c(N)nc2cccc(NCc3cccs3)c21
3,Nc1cc(-c2cc[nH]n2)cc2c1OCO2
4,COC(=O)c1cnc2[nH]cc(C)cc1-2
5,CC(C)c1cccc2[nH]cnc12
6,CC1CN(C(=O)c2cccc(F)c2)CCN1
7,CC(C)(C)c1cnc2ccccc2n1
8,CCc1nc(Cn2ccc(Br)cc2=O)no1
9,COCC(=O)Nc1cccc(C(=O)NCc2cccs2)c1
10,Cc1cccc(O)c1Nc1ccccc1
11,Oc1cc2c(cc1-c1ccn[nH]1)OCO2
12,COCC(=O)Nc1ccc(O)cc1N
13,Cc1cccc(O)c1Nc1ccc(O)cc1
14,Oc1ccc(Nc2ccncc2O)cc1
