hippo_id,smiles,inchikey,required_amount_mg,num_poses,poses,tags,num_routes,num_reaction_steps,reaction_dependencies,reactant_dependencies,chemistry_types,scaffold_series
48282,COC(=O)C(=O)Nc1ccc(O)c(C#N)c1N1C(=O)CNC1=O,YAUPXNVPJZTWJJ-UHFFFAOYSA-N,1,1,{53726},[],1,{2},"[37113, 37169]","{48280, 4497, 14487}","Amidation, N-nucleophilic_aromatic_substitution",[3611]
42318,COc1cnc(Nc2ccc(O)cc2SC)cc1Br,KYZXOLDYLRMNMH-UHFFFAOYSA-N,1,1,{48314},[],1,{1},[32009],"{10364, 40927}",Buchwald-Hartwig_amination,[3628]
77343,CCOc1cccc(CC(=O)Nc2c(C)cc(C)nc2N)n1,VJSOKNLFXQRYQN-UHFFFAOYSA-N,1,1,{99664},[],1,{1},[63716],"{37753, 77003}",Amidation,[1012]
20036,COc1cc(Br)cc(CO)c1Nc1ccc(O)cc1[N+](=O)[O-],WONKJKGCDNOYCY-UHFFFAOYSA-N,1,1,{21169},[],1,{1},[12271],"{16954, 17246}",Buchwald-Hartwig_amination,[3625]
70808,O=C(Nc1ccc(Br)c(Cl)c1Cl)c1cc(Cl)c2nc(O)[nH]c2c1,PXXVQNRSZJDCQK-UHFFFAOYSA-N,1,1,{91579},[],1,{1},[57229],"{10944, 68261}",Amidation,[2919]
45998,CSc1cc(O)ccc1Nc1c(O)cnc2ccccc12,IOGSJGARNNJYGV-UHFFFAOYSA-N,1,1,{51969},[],1,{1},[35479],"{10364, 42199}",Buchwald-Hartwig_amination,[3628]
41729,COc1cc(Br)c(Nc2ccncc2O)cc1F,QZCZJCYJDSWJBV-UHFFFAOYSA-N,1,1,{47740},[],1,{1},[31054],"{4483, 17238}",Buchwald-Hartwig_amination,[3628]
87296,Cc1cc(NC(=O)COCCO)c(N)cc1Cl,GCDJWZNHDYAHNW-UHFFFAOYSA-N,1,1,{112676},[],1,{1},[73867],"{10154, 86571}",Ester_amidation,[2924]
79078,Cn1c(Cl)nc2c(C3CCOC3)cccc21,FOCPTZRNNDZANF-UHFFFAOYSA-N,1,2,"{102129, 102130}",[],1,{1},[65479],"{78851, 78631}",Sp3-sp2_Suzuki_coupling,[1128]
71824,Cn1c(=O)[nH]c2cc(C(=O)Nc3ccc4[nH]ncc4c3)cc(Cl)c21,YBRAGLUYERRLSZ-UHFFFAOYSA-N,1,1,{92761},[],1,{1},[58245],"{10770, 68670}",Amidation,[2919]
12661,NC(=O)c1cc(Cl)c(C(=O)Nc2cccc(OC(F)F)c2)c(Cl)c1,MWFAJXAHMFCRES-UHFFFAOYSA-N,1,1,{14220},[],1,{1},[6353],"{4579, 11765}",Amidation,[2944]
87306,Nc1c(O)cccc1NC(=O)C1OCCNC1=O,OJPSZTRAVHUUHL-UHFFFAOYSA-N,1,1,{112685},[],1,{1},[73876],"{87305, 8692}",Ester_amidation,[2924]
87084,Nc1cc(I)c(Cl)cc1NC(=O)COCCCl,WOLALUBCYSBPOY-UHFFFAOYSA-N,1,1,{112459},[],1,{1},[73632],"{10160, 86597}",Ester_amidation,[2924]
41967,Oc1ccc(Nc2cncc(O)c2Br)c(Br)c1Cl,OXNYIYHUFOZLHP-UHFFFAOYSA-N,1,1,{47972},[],1,{1},[31289],"{10240, 40872}",Buchwald-Hartwig_amination,[3628]
77233,COc1ccc2c(n1)C(C(=O)Nc1cnccc1C=O)CC2,VIJHPZZSSIQHNI-UHFFFAOYSA-N,1,2,"{99389, 99390}",[],1,{1},[63608],"{37563, 77054}",Amidation,[1012]
88137,COC(C)(C(=O)O)C(=O)Nc1cc(Br)ccc1N,WUZFKIXWAPWHNT-UHFFFAOYSA-N,1,2,"{113712, 113711}",[],1,{1},[74712],"{8673, 80778}",Ester_amidation,[2924]
29491,CC(=O)c1cc(=O)[nH]c(=O)n1CC1CCS(=O)(=O)C1,ZHZYDIHQAFIRHG-UHFFFAOYSA-N,1,2,"{31832, 31833}",[],1,{1},[21169],"{4466, 29490}",Nucleophilic_substitution_with_amine,[95]
43055,COc1cc(F)c(Nc2c(O)cncc2Cl)cc1Cl,DOIDUMRWMOTCFK-UHFFFAOYSA-N,1,1,{49045},[],1,{1},[32411],"{40872, 17214}",Buchwald-Hartwig_amination,[3628]
53948,Brc1nc2ccccc2nc1C12CC(C3CCCC3)(C1)C2,PCKGBOWJGCPXPX-UHFFFAOYSA-N,1,1,{66463},[],1,{1},[42270],"{53784, 52777}",Sp3-sp2_Suzuki_coupling,[1473]
